time	V(compout)	V(input)
6.533110314890815e-08	1.417064e-01	3.215278e-04
6.833110314890814e-08	1.417064e-01	3.324131e-04
7.133110314890812e-08	1.417064e-01	3.372002e-04
7.433110314890811e-08	1.417064e-01	3.378153e-04
7.733110314890810e-08	1.417064e-01	3.358517e-04
8.033110314890808e-08	1.417064e-01	3.325308e-04
8.333110314890807e-08	1.417064e-01	3.287219e-04
8.633110314890806e-08	1.417064e-01	3.249911e-04
8.933110314890805e-08	1.417064e-01	3.216653e-04
9.233110314890803e-08	1.417064e-01	3.188947e-04
9.475967457747945e-08	1.417064e-01	3.171986e-04
9.718824600605087e-08	1.417064e-01	3.157545e-04
9.961681743462229e-08	1.417064e-01	3.145624e-04
1.020453888631937e-07	1.417064e-01	3.136224e-04
1.044739602917651e-07	1.417064e-01	3.129343e-04
1.069025317203365e-07	1.417064e-01	3.124983e-04
1.093311031489080e-07	1.417064e-01	3.123143e-04
1.116168174346222e-07	1.417064e-01	3.121557e-04
1.139025317203365e-07	1.417064e-01	3.120205e-04
1.161882460060508e-07	1.417064e-01	3.119088e-04
1.184739602917651e-07	1.417064e-01	3.118206e-04
1.207596745774793e-07	1.417064e-01	3.117558e-04
1.230453888631936e-07	1.417064e-01	3.117145e-04
1.253311031489079e-07	1.417064e-01	3.116966e-04
1.284739602917650e-07	1.417064e-01	3.116277e-04
1.316168174346221e-07	1.417064e-01	3.115469e-04
1.347596745774793e-07	1.417064e-01	3.114544e-04
1.379025317203364e-07	1.417064e-01	3.113502e-04
1.410453888631935e-07	1.417064e-01	3.112341e-04
1.441882460060507e-07	1.417064e-01	3.111062e-04
1.473311031489078e-07	1.417064e-01	3.109666e-04
1.511882460060506e-07	1.417064e-01	3.107871e-04
1.550453888631935e-07	1.417064e-01	3.106000e-04
1.589025317203363e-07	1.417064e-01	3.104050e-04
1.627596745774792e-07	1.417064e-01	3.102024e-04
1.666168174346220e-07	1.417064e-01	3.099920e-04
1.704739602917648e-07	1.417064e-01	3.097739e-04
1.743311031489077e-07	1.417064e-01	3.095481e-04
1.776168174346219e-07	1.417064e-01	3.093508e-04
1.809025317203362e-07	1.417064e-01	3.091500e-04
1.841882460060505e-07	1.417064e-01	3.089458e-04
1.874739602917648e-07	1.417064e-01	3.087382e-04
1.907596745774790e-07	1.417064e-01	3.085273e-04
1.940453888631933e-07	1.417064e-01	3.083129e-04
1.973311031489076e-07	1.417064e-01	3.080951e-04
2.007596745774790e-07	1.417064e-01	3.078657e-04
2.041882460060504e-07	1.417064e-01	3.076356e-04
2.076168174346218e-07	1.417064e-01	3.074047e-04
2.110453888631933e-07	1.417064e-01	3.071731e-04
2.144739602917647e-07	1.417064e-01	3.069407e-04
2.179025317203361e-07	1.417064e-01	3.067076e-04
2.213311031489075e-07	1.417064e-01	3.064738e-04
2.260453888631932e-07	1.417064e-01	3.061531e-04
2.307596745774790e-07	1.417064e-01	3.058357e-04
2.354739602917648e-07	1.417064e-01	3.055214e-04
2.401882460060505e-07	1.417064e-01	3.052104e-04
2.449025317203362e-07	1.417064e-01	3.049027e-04
2.496168174346220e-07	1.417064e-01	3.045981e-04
2.543311031489078e-07	1.417064e-01	3.042968e-04
2.604739602917650e-07	1.417064e-01	3.039131e-04
2.666168174346223e-07	1.417064e-01	3.035374e-04
2.727596745774796e-07	1.417064e-01	3.031698e-04
2.789025317203369e-07	1.417064e-01	3.028102e-04
2.850453888631942e-07	1.417064e-01	3.024587e-04
2.911882460060515e-07	1.417064e-01	3.021153e-04
2.973311031489087e-07	1.417064e-01	3.017799e-04
3.039025317203374e-07	1.417064e-01	3.014293e-04
3.104739602917661e-07	1.417064e-01	3.010846e-04
3.170453888631949e-07	1.417064e-01	3.007460e-04
3.236168174346236e-07	1.417064e-01	3.004132e-04
3.301882460060523e-07	1.417064e-01	3.000865e-04
3.367596745774811e-07	1.417064e-01	2.997657e-04
3.433311031489097e-07	1.417064e-01	2.994509e-04
3.547596745774814e-07	1.417064e-01	2.989128e-04
3.661882460060531e-07	1.417064e-01	2.983868e-04
3.776168174346248e-07	1.417064e-01	2.978729e-04
3.890453888631965e-07	1.417064e-01	2.973711e-04
4.004739602917682e-07	1.417064e-01	2.968813e-04
