time	V(compout)
1.017641218256768e-06	1.417079e-01
1.018417009221283e-06	1.417081e-01
1.019213656040799e-06	1.417084e-01
1.020034830247459e-06	1.417086e-01
1.020943388581229e-06	1.417089e-01
1.021943388581230e-06	1.417093e-01
1.022926329029017e-06	1.417096e-01
1.023926329029017e-06	1.417100e-01
1.024926329029017e-06	1.417104e-01
1.025926329029017e-06	1.417108e-01
1.026926329029017e-06	1.417112e-01
1.027926329029017e-06	1.417116e-01
1.028926329029017e-06	1.417119e-01
1.029926329029017e-06	1.417122e-01
1.030926329029018e-06	1.417125e-01
1.031926329029018e-06	1.417128e-01
1.032926329029018e-06	1.417131e-01
1.033926329029018e-06	1.417132e-01
1.034926329029018e-06	1.417134e-01
1.035926329029018e-06	1.417135e-01
1.036926329029018e-06	1.417136e-01
1.037926329029018e-06	1.417137e-01
1.038926329029018e-06	1.417137e-01
1.039926329029018e-06	1.417137e-01
1.040926329029018e-06	1.417137e-01
1.041926329029018e-06	1.417136e-01
1.043926329029018e-06	1.417135e-01
1.045926329029019e-06	1.417134e-01
1.047926329029019e-06	1.417132e-01
1.049926329029019e-06	1.417131e-01
1.051926329029019e-06	1.417130e-01
1.053926329029019e-06	1.417129e-01
1.055926329029019e-06	1.417128e-01
1.058926329029020e-06	1.417127e-01
1.061926329029020e-06	1.417126e-01
1.063926329029020e-06	1.417126e-01
1.065926329029020e-06	1.417125e-01
1.067926329029020e-06	1.417125e-01
1.070926329029021e-06	1.417125e-01
1.073926329029021e-06	1.417125e-01
1.076926329029021e-06	1.417125e-01
1.079926329029021e-06	1.417125e-01
1.082926329029021e-06	1.417125e-01
1.085926329029022e-06	1.417126e-01
1.088926329029022e-06	1.417126e-01
1.091212043314736e-06	1.417126e-01
1.093497757600451e-06	1.417126e-01
1.095783471886165e-06	1.417126e-01
1.098069186171880e-06	1.417126e-01
1.100354900457594e-06	1.417126e-01
1.102640614743309e-06	1.417126e-01
1.104926329029023e-06	1.417126e-01
1.107354900457595e-06	1.417126e-01
1.109783471886166e-06	1.417126e-01
1.112212043314738e-06	1.417126e-01
1.114640614743310e-06	1.417126e-01
1.117069186171881e-06	1.417126e-01
